GrantId,Distance_Min,Grant_Match
769,0,"[{""Grant"":""104"",""Jaccard"":0},{""Grant"":""126"",""Jaccard"":0},{""Grant"":""318"",""Jaccard"":0},{""Grant"":""516"",""Jaccard"":0},{""Grant"":""556"",""Jaccard"":0},{""Grant"":""810"",""Jaccard"":0},{""Grant"":""1118"",""Jaccard"":0},{""Grant"":""1175"",""Jaccard"":0},{""Grant"":""1732"",""Jaccard"":0},{""Grant"":""2054"",""Jaccard"":0},{""Grant"":""3694"",""Jaccard"":0},{""Grant"":""4170"",""Jaccard"":0},{""Grant"":""4503"",""Jaccard"":0},{""Grant"":""4981"",""Jaccard"":0},{""Grant"":""5079"",""Jaccard"":0},{""Grant"":""6907"",""Jaccard"":0}]"
779,0.8933333333333333,[]
781,0.6333333333333333,[]
782,0.7692307692307693,[]
792,0.8333333333333334,[]
795,0.8313253012048193,[]
798,0,"[{""Grant"":""277"",""Jaccard"":0}]"
810,0,"[{""Grant"":""104"",""Jaccard"":0},{""Grant"":""126"",""Jaccard"":0},{""Grant"":""318"",""Jaccard"":0},{""Grant"":""516"",""Jaccard"":0},{""Grant"":""556"",""Jaccard"":0},{""Grant"":""769"",""Jaccard"":0},{""Grant"":""1118"",""Jaccard"":0},{""Grant"":""1175"",""Jaccard"":0},{""Grant"":""1732"",""Jaccard"":0},{""Grant"":""2054"",""Jaccard"":0},{""Grant"":""3694"",""Jaccard"":0},{""Grant"":""4170"",""Jaccard"":0},{""Grant"":""4503"",""Jaccard"":0},{""Grant"":""4981"",""Jaccard"":0},{""Grant"":""5079"",""Jaccard"":0},{""Grant"":""6907"",""Jaccard"":0}]"
811,0.6363636363636364,[]
816,0.7142857142857143,[]
821,0.6900521116901299,[]
826,0,"[{""Grant"":""530"",""Jaccard"":0}]"
827,0,"[{""Grant"":""622"",""Jaccard"":0},{""Grant"":""949"",""Jaccard"":0},{""Grant"":""1131"",""Jaccard"":0}]"
829,0.5,[]
844,0.5,[]
852,0,"[{""Grant"":""679"",""Jaccard"":0},{""Grant"":""6505"",""Jaccard"":0},{""Grant"":""6874"",""Jaccard"":0}]"
855,0.6956521739130435,[]
860,0.5,[]
886,0.8037974683544303,[]
888,0.75,[]
902,0.4,[]
916,0.875,[]
934,0.8,[]
938,0.8,[]
949,0,"[{""Grant"":""622"",""Jaccard"":0},{""Grant"":""827"",""Jaccard"":0},{""Grant"":""1131"",""Jaccard"":0}]"
966,0,"[{""Grant"":""2825"",""Jaccard"":0}]"
972,0.9,[]
976,0.2,"[{""Grant"":""554"",""Jaccard"":0.2},{""Grant"":""6417"",""Jaccard"":0.2}]"
982,0.8,[]
1047,0.6666666666666666,[]
1051,0,"[{""Grant"":""101"",""Jaccard"":0},{""Grant"":""584"",""Jaccard"":0},{""Grant"":""1736"",""Jaccard"":0},{""Grant"":""1760"",""Jaccard"":0},{""Grant"":""2010"",""Jaccard"":0},{""Grant"":""2135"",""Jaccard"":0},{""Grant"":""2157"",""Jaccard"":0}]"
1064,0.9991575400168492,[]
1080,0.8173913043478261,[]
1088,0.3333333333333333,[]
1093,0.9999575713861428,[]
1101,0.5238095238095238,[]
1102,0.8461538461538461,[]
1110,0.9315068493150684,[]
