Handle,LevDistance,LevMatchCount,IntersectionalityScore,DDNADistance,DDNAGrantsDonated,APUScore,SADScore,GrantOwner,IPsSharedRatio,IPsUsedCount,IPsSharedCount,MetaRank_Loki,MetaRank_Thor
xiaowanping2022,3,0,2,0.11,3,0.15,1,0,1,3,3,0.42022889689290854,0.4679866777911181
valentinaeth,3,0,0,0,5,0.1,1,0,0,1,0,0.5107250372839884,0.5510283334350814
hcalagan,2,0,3,0,2,0.15,0,0,0,3,0,0.578137445321437,0.612887744788805
cosco6666,2,0,2,0,5,0.11,1,0,1,2,2,0.3504972122479981,0.40399903678530485
serlarry,2,0,1,0.04,17,0.1,1,0,1,1,1,0.47071890182714643,0.514317643786926
airdrop0104,1,4,3,0.17,3,0,1,0,1,1,1,0.30596525335555896,0.3631353316646656
tuananh2681,3,0,1,0,1,0.08,0.28,0,0,4,0,0.47293653683029735,0.516352604410438
outletpolo,4,0,3,0,2,0,0,0,0.62,8,5,0.3961509248461978,0.44589209282133724
sevenseven77777,6,0,2,0,6,0.08,1,0,1,1,1,0.4999750516062145,0.5411638618126072
nadeem612,3,0,3,0.18,16,0.08,0,0,0.17,6,1,0.6352785072359582,0.6653218968546292
fitinbit,3,0,1,0.21,21,0.16,1,0,0,4,0,0.6586745565192001,0.6867907314326801
pin4er83,3,0,0,0,14,0,1,0,0,1,0,0.4990454929340605,0.5403108741512518
argaretevans,4,0,1,0,2,0,1,0,1,2,2,0.29321939617494924,0.35143939548103076
ystonstew,3,0,1,0,2,0,1,0,1,1,1,0.31529225657297777,0.3716940368870529
wearyy888,4,0,2,0,6,0.08,1,0,1,2,2,0.4121899700064866,0.4606099455308873
hom3rac3r,3,0,0,0.25,1,0,0,0,0,1,0,0.5510619699621339,0.5880425713762438
urencecoop,3,0,1,0,2,0,1,0,1,1,1,0.31529225657297777,0.3716940368870529
xanderc23,2,0,1,0,2,0,1,0,1,1,1,0.2730703341421541,0.33295008241590524
ft-zx,2,0,3,0.2,2,0,0,0,0.94,16,15,0.35763984498731327,0.4105533057935329
caloalbertoreyegome,10,0,0,0,1,0.1,1,0,1,1,1,0.4016266352748112,0.45091674976089213
fengwenkai,3,0,4,0,2,0.11,0,0,0.21,14,3,0.476713908452331,0.5198188206724866
chaelper,2,0,1,0,2,0,1,0,1,1,1,0.2730703341421541,0.33295008241590524
bymorga,2,0,1,0,2,0,1,0,1,1,1,0.2730703341421541,0.33295008241590524
rkbroo,2,0,1,0,2,0,1,0,1,1,1,0.2730703341421541,0.33295008241590524
praisekaycem,5,0,1,0,2,0.1,0,0,1,7,7,0.39795829737376576,0.44755058572949946
renardstou,4,0,2,0,1,0,1,0,0,1,0,0.48951151044968094,0.5315622392706701
lainpe,2,0,1,0,2,0,1,0,1,1,1,0.2730703341421541,0.33295008241590524
mmarichardso,3,0,1,0,2,0,1,0,1,1,1,0.31529225657297777,0.3716940368870529
mbiboo,2,0,1,0,2,0,1,0,1,1,1,0.2730703341421541,0.33295008241590524
terryypowell00,6,0,1,0.08,9,0.16,1,0,0,1,0,0.7126185279708455,0.736291148599608
siyuy9,2,0,2,0,6,0.08,1,0,1,1,1,0.39204090797369145,0.4421206324657618
sunk666,2,0,3,0.26,12,0,0,0,0.73,15,11,0.45547820526799193,0.5003323769018403
izippoo,2,0,0,0,1,0,1,0,0,2,0,0.31481176898896174,0.37125312875195865
sinankyaa,2,0,3,0,2,0,1,0,0,4,0,0.4037851333445447,0.4528974447677771
wyi01,2,0,2,0.07,21,0.13,1,0,1,2,2,0.47212525202497796,0.5156081479823366
rtx5022,3,0,0,0,12,0,1,0,0,1,0,0.4920137419449029,0.5338583531741994
0xvale,1,3,4,0.21,6,0.16,1,0,0,6,0,0.522275219592066,0.5616270866825394
qwerlzq,3,0,4,0.33,38,0.11,0,0,0.86,35,30,0.6192043495214529,0.65057182393520685
rahul-dev9041,5,0,1,0.13,15,0.18,0,0,0,8,0,0.7443454927492575,0.7654046519199853
hhh366,3,0,0,0,4,0,0,0,0.37,35,13,0.27008576703374687,0.3302113645767621
janiceokore3,5,0,2,0,2,0.1,0,0,1,3,3,0.46101305263002273,0.5054112994580221
qmchen007,3,0,1,0.61,10,0,0,0,1,7,7,0.44735057298144393,0.49287424621666903
xiaoma1643,3,0,4,0.08,7,0.13,0,0,0.54,151,82,0.5201980348057814,0.5597210068985166
liuhuiboy,2,0,3,0.44,5,0.1,0,0,0,3,0,0.6838983066508721,0.7099367127246088
andrewding-eth,4,0,4,0,11,0.11,1,0,0.67,3,2,0.5355292847942312,0.5737893680090623
hotwin10,3,0,2,0,6,0.08,1,0,1,1,1,0.43426283040451513,0.4808645869369094
nftmoonsxyz,5,0,1,0,1,0,1,0,1,2,2,0.2907208607380659,0.34914667317854065
lyy840817,4,0,4,0.33,21,0.11,0,0,0.48,33,16,0.6663161571342242,0.6938028665811983
hades52831,4,0,4,0,1,0.1,1,0,0.64,11,7,0.3795851913726606,0.4306909369637031
footballman777888,8,0,3,0.08,19,0.11,0,0,0.25,4,1,0.72451613976275,0.7472087123447495
tenkubashi1111,7,0,3,0.06,24,0.1,1,0,0,1,0,0.7853865245409034,0.8030649898591129
tictacblock,4,0,2,0.33,11,0.2,1,0,1,1,1,0.6443911390697391,0.6736838892167436
marygracedionicio20,10,0,2,0,18,0,1,0,0,1,0,0.6454703881046059,0.6746742367201861
araabiera31,3,0,2,0,18,0,1,0,0,1,0,0.5705642217856767,0.6059383542595117
reynoldbediones17,7,0,2,0,18,0,1,0,0,1,0,0.6411459998484617,0.6707060635043378
gambit361,2,0,0,0,1,0.13,0,0,0,1,0,0.5116176353727567,0.5518474050860449
drbotoxuk,4,0,1,0,1,0,1,0,1,2,2,0.2706106073178259,0.3306929719243266
romulocadusale23,7,0,2,0,18,0,1,0,0,1,0,0.6411459998484617,0.6707060635043378
ponce921107,5,0,2,0,18,0.05,1,0,0,1,0,0.6683582293662923,0.6956767261553489
cheerandomacct,6,0,2,0,18,0,1,0,0,1,0,0.6362764429873761,0.6662376291352096
belloarlenejay,6,0,2,0,18,0,1,0,0,1,0,0.6362764429873761,0.6662376291352096
men710,2,0,2,0,11,0.07,0,0,0.27,22,6,0.4034469440065642,0.4525871132726915
james198805,3,0,4,0.1,23,0.26,0,0,0.82,11,9,0.6233845915023922,0.6544077247105269
betterliu2333,4,0,3,0,8,0,0,0,0.2,25,5,0.44444547112731625,0.4902084477998684
pond044,2,0,3,0,16,0.1,1,0,0,10,0,0.5357750726737471,0.5740149094781682
docrejuvenate,6,0,1,0,1,0,1,0,1,2,2,0.3008406684691111,0.35843287682383346
10vitalik10,4,0,0,0,1,0.1,1,0,0.33,3,1,0.35104053282377007,0.4044976021380653
amirsniff,4,0,4,0.23,14,0.11,1,0,0.33,3,1,0.6627956615667222,0.6905723665913731
kittiwat2520,5,0,3,0,2,0,0,0,0,8,0,0.5576594340965078,0.5940965792311919
goodluckysix,3,0,3,0,2,0.06,1,0,0.6,5,3,0.350938891219459,0.40440433310948765
syedasadkazmi,5,0,0,0.43,7,0,0,0,0,1,0,0.6909041852316598,0.7163654924943869
xiaoxuanming2022,3,0,2,0.14,7,0.16,1,0,1,3,3,0.4640567566718473,0.5082042829137923
git-money-bee,5,0,4,0.22,21,0.15,0,0,0.33,33,11,0.6906805737021753,0.7161603006315161
tktii,2,0,1,0.11,3,0,1,0,0,3,0,0.42054306185168827,0.46827496387944895
kristikozh,3,0,0,0,14,0,1,0,0,1,0,0.4990454929340605,0.5403108741512518
mianmoru,2,0,1,0,5,0,1,0,0,1,0,0.43446611361313725,0.4810511249940647
kingwingsss,4,0,4,0.04,17,0.13,1,0,1,1,1,0.6498409770899823,0.6786848049490243
reina6188,2,0,2,0.1,15,0.15,1,0,1,1,1,0.5291776085393732,0.5679609016232202
xami777,2,0,2,0.07,9,0,1,0,0,1,0,0.5356272303402037,0.5738792454366008
btc990521,3,0,4,0,14,0,0,0,0.43,23,10,0.4524437413720138,0.4975478724486681
mzf138934,4,0,4,0.28,16,0.15,0,0,0.69,148,102,0.641654207870017,0.671172408647226
alfredpere11,5,0,2,0,2,0.1,0,0,1,7,7,0.42627564833483333,0.4735353370912273
boroda13,2,0,1,0,1,0,1,0,0,1,0,0.3834900770073755,0.4342741634616037
declanhughes761,7,0,1,0,1,0,1,0,1,2,2,0.3057102253301966,0.36290131119296176
airdrop0103,1,4,3,0.17,3,0,1,0,1,1,1,0.30596525335555896,0.3631353316646656
2046kiki,4,0,2,0.2,7,0,1,0,1,3,3,0.41667883285869783,0.4647290449929794
0xspring,2,0,2,0.12,5,0.1,1,0,1,1,1,0.45314229639800635,0.49818888504507436
daiqiang36,3,0,1,0.27,11,0,1,0,1,3,3,0.3929335060624597,0.44293970411672534
owlando1,2,0,3,0.22,9,0.15,1,0,0,1,0,0.6891042048207688,0.714713782788303
xiangyun98,3,0,2,0,6,0,1,0,0.5,2,1,0.37627537113045795,0.4276537582331115
fourchett,2,0,0,0.17,2,0,0,0,1,7,7,0.2681287041434662,0.3284155118265128
noobsprofit,5,0,1,0,1,0,1,0,0,1,0,0.48130441290885334,0.5240311891631564
mashahealy,3,0,3,0.3,13,0.15,0,0,0,4,0,0.7819528863443581,0.7999141924937085
hyances,2,0,3,0.23,9,0,0,0,0,6,0,0.603606983332625,0.6362592675498395
myboy001,2,0,4,0.22,6,0.15,1,0,0.43,7,3,0.49313549565066334,0.5348877040895925
ivy666888,2,0,4,0,3,0.11,1,0,1,3,3,0.3658654228198338,0.41810131390624256
xybcoder,3,0,2,0.24,13,0.2,0,0,0.56,16,9,0.5751436380671833,0.6101405479470638
jim975,1,1,4,0.3,13,0.16,1,0,1,1,1,0.5225413357924441,0.5618712819573608
klementynga,3,0,3,0.47,14,0.13,1,0,0,7,0,0.7024395833063829,0.7269506793376882
marcrypto1,1,1,3,0.22,6,0.1,1,0,0.5,2,1,0.40954728829439846,0.4581849507878689
burannn,2,0,3,0.18,7,0.21,1,0,0.5,2,1,0.5422062141828846,0.5799162952863529
adriasaw,2,0,2,0.1,23,0.13,1,0,0.88,8,7,0.4387941979276201,0.48502268981095215
mahsiaoko,3,0,2,0,1,0,0,0,1,1,1,0.3958404559457567,0.44560719833404555
hsine88898113,6,0,2,0.2,5,0,1,0,1,1,1,0.5113958718724416,0.5516439090236938
timothyoho,1,1,0,0,1,0.1,1,0,1,1,1,0.1867766120820451,0.2537646771534971
heihutouxin,5,0,2,0,5,0.13,1,0,1,4,4,0.4212009602359564,0.46887866886442414
lilalila777,3,0,0,0.29,11,0.13,1,0,0,1,0,0.6611287392560204,0.6890427545227
yasinskix,2,0,1,0,1,0.1,1,0,0,1,0,0.45001727907273287,0.4953212863664421
aa168hh,3,0,4,0.12,18,0,0,0,0.71,55,39,0.49232975493285186,0.5341483350630498
ladeidraeverett766,9,0,0,0.2,2,0.06,1,0,0,1,0,0.608960723836065,0.6411720016551014
babyrok,2,0,1,0.25,2,0.07,1,0,0,1,0,0.537044668713051,0.5751799244351289
wanglihao0511,5,0,4,0,14,0,1,0,0.88,8,7,0.4372104369295365,0.4835693887656607
naim08-svg,5,0,1,0,23,0.2,0,0,0,2,0,0.7432292831310049,0.764380388406151
kbdlnx,3,0,3,0,3,0.13,0,0,0.33,3,1,0.5336147265748442,0.5720325186707638
nprhust,3,0,4,0.37,12,0.34,0,0,0.87,15,13,0.6386844249949641,0.6684472572122396
zyjr2022,3,0,1,0,1,0,1,0,0,1,0,0.42571199943819915,0.47301811793275134
hupandaxue290,6,0,0,0.5,1,0,1,0,1,1,1,0.4302729354280128,0.4772033536151076
astarvicent,5,0,2,0.19,9,0.1,1,0,0.22,9,2,0.5357159357403297,0.5739606438615413
wanju007,2,0,3,0,3,0,1,0,1,2,2,0.28438212068739294,0.3433300773963357
dafuwengbb,3,0,3,0,6,0,1,0,1,2,2,0.35097585180284485,0.4044382491198795
norbertouno1,1,1,0,0,5,0,1,0,0,2,0,0.26806587115171027,0.32835785460884664
nerotarbo1,1,1,4,0,6,0.15,1,0,1,2,2,0.32719356442322084,0.38261499223323364
newiso,2,0,4,0.09,6,0.18,1,0,0.75,8,6,0.4448501895153913,0.49057982811365936
aminsoroushf,4,0,3,0,3,0.13,1,0,0.6,5,3,0.4389845449320572,0.4851973572644703
kkkq2223,3,0,3,0.67,84,0.11,0,0,0.04,23,1,0.697314998419935,0.722248224496856
yujumei,3,0,4,0.25,8,0,1,0,0.76,21,16,0.4105563122208321,0.45911085787156686
donotmint,3,0,2,0,1,0,1,0,1,2,2,0.26344579822847924,0.32411835330986344
erbeeri,2,0,2,0,1,0,1,0,0,1,0,0.41180742796844305,0.4602589148233315
stefanvoda,2,0,0,0.25,3,0.15,1,0,0.33,3,1,0.41527987477754347,0.4634453239996473
gosngga,3,0,4,0,14,0.07,1,0,0.83,6,5,0.4418415980277833,0.4878190648677615
jayyu66,2,0,3,0.2,10,0.18,1,0,1,2,2,0.508143340534487,0.5486593001092096
justhereforlongevity,9,0,0,0.57,10,0.06,1,0,0,2,0,0.6697257709515687,0.696931618539848
valmar888,3,0,0,0.14,49,0.08,1,0,0,1,0,0.6399706532967916,0.6696275343738766
cgm0766,3,0,4,0.2,13,0,1,0,0.33,43,14,0.4424754720328506,0.488400724445982
zxc1dai,3,0,4,0.23,7,0.28,0,0,0,10,0,0.753310282249495,0.7736309802405323
buunna,2,0,3,0.06,11,0.11,0,0,0.64,121,78,0.46582347255769085,0.5098254682105234
mountainsea1,4,0,4,0.15,2,0,1,0,0.67,6,4,0.41881700260756916,0.4666910861941488
snoopy254pl,5,0,4,0.48,30,0.26,0,0,0.5,18,9,0.7395923617258375,0.7610430529835914
xiweihan1314,4,0,3,0.15,6,0.21,0,0,0.6,5,3,0.6192634864548702,0.6506260895518339
sage36221661,6,0,3,0,5,0,1,0,0,1,0,0.5993805406224532,0.6323809717615297
cryptathon,3,0,4,0,1,0.08,1,0,1,2,2,0.37169041076144343,0.4234464771440006
cryptogeekir,2,0,NA,0.25,2,0,1,0,0,2,0,0.5479886974536006,0.44967711958106943
6emo,1,2,3,0,3,0,1,0,1,1,1,0.23982798544492226,0.30244602266946136
jiangyog,3,0,2,0,5,0.1,1,0,0.75,4,3,0.3728306447588969,0.4244927860645897
tianyang562,3,0,2,0,9,0.15,1,0,1,1,1,0.49160902355682784,0.5334869728604085
maomaoxxo,2,0,1,0,5,0,1,0,0,1,0,0.43446611361313725,0.4810511249940647
rangoscq,3,0,4,0.26,12,0.16,0,0,1,49,49,0.5744081224578049,0.6094656193402658
mehrdadnet,2,0,2,0.21,25,0.2,0,0,0.5,4,2,0.6067966816788236,0.6391862192466575
ws2804763210,4,0,4,0.03,30,0.07,0,0,0.6,35,21,0.5772799597868853,0.6121008933477137
taeyardaddy,4,0,2,0.14,2,0.04,1,0,0,1,0,0.6138820255138907,0.6456879184387783
leixuewang,3,0,3,0.3,6,0,0,0,0.5,2,1,0.5699562201889795,0.6053804358885656
brandoniles,2,0,3,0.29,1,0.28,0,0,0,5,0,0.6462003596264764,0.6753440779254255
s-kben,1,1,2,0,1,0,1,0,0,2,0,0.2778973863323459,0.3373795133730829
airdrop0102,1,4,3,0,3,0,1,0,1,1,1,0.23896310779369342,0.3016523880262917
xingcuiping,3,0,2,0,1,0.11,1,0,0.33,12,4,0.3196129487707834,0.375658818501862
turboo1000,3,0,3,0.13,8,0,1,0,1,6,6,0.37351995963904294,0.42512531965839795
boredcryptoclubxyz,7,0,1,0,1,0,1,0,1,2,2,0.3057102253301966,0.36290131119296176
jeffrey220520,2,0,4,0.08,18,0,1,0,1,1,1,0.4958299221794917,0.5373601812471596
youzi0101,2,0,3,0,3,0,1,0,1,1,1,0.3419371411358357,0.3961440887785488
dickcheesemcgeee,7,0,2,0.18,3,0,1,0,1,2,2,0.4380642264057496,0.4843528486057128
cryptosasa0,2,0,1,0,7,0.18,1,0,0,2,0,0.511397719901611,0.5516456048242133
lejun58,2,0,2,0,1,0,1,0,0.67,3,2,0.2321494242465123,0.29539997151055125
1577648502,5,0,4,0,14,0,0,0,0.37,41,15,0.5006089256112819,0.5417455213908278
lishengabc,3,0,3,0,4,0.13,1,0,0.5,2,1,0.47503035387910564,0.5182739463991372
xiaoqingabc,3,0,3,0,4,0.13,1,0,1,2,2,0.42106790213576734,0.4687565712270134
ruslan1718,3,0,3,0.12,18,0.08,0,0,0,13,0,0.6974240321409233,0.722348276727512
zhepengcao,4,0,1,0,1,0,1,0,1,1,1,0.3281656277662687,0.3835069833065397
wj0102307,2,0,4,0.38,29,0.11,0,0,0.84,32,27,0.5794440019441267,0.6140866757561575
hide19831103,5,0,4,0.21,8,0,1,0,0,5,0,0.6473184172738983,0.6763700372397794
maklerxxx,3,0,1,0.04,73,0.11,1,0,0,1,0,0.6749593895590048,0.7017341256113361
tuxon33,2,0,4,0.31,8,0.18,0,0,0.44,34,15,0.5588126042981463,0.5951547587554181
gabri-44,2,0,4,0.46,7,0,0,0,0.04,48,2,0.5025900128807633,0.5435634195478317
harish0861,3,0,1,0.29,14,0.1,1,0,0,31,0,0.5867455651920009,0.6207867836090705
jesmrie,2,0,3,0.43,14,0.26,0,0,0,3,0,0.7785284882936593,0.7967718741309022
star1100,2,0,1,0.53,9,0,0,0,0.5,2,1,0.5070160427412186,0.5476248617922577
vlad98v,2,0,3,0.17,11,0.25,1,0,0,6,0,0.6360472873703839,0.66602734987078
jerkey222,3,0,0,0.38,8,0,1,0,1,1,1,0.4309511621331431,0.4778257124057983
arcchen1,2,0,3,0.18,7,0.05,1,0,0.56,9,5,0.3979749296362894,0.4475658479341758
sparry472,4,0,2,0,14,0,0,0,0,1,0,0.6701748420397068,0.6973436980661091
convose,2,0,4,0.24,17,0.29,0,0,0,5,0,0.7782217154515567,0.7964903712446497
lsj150783,1,1,4,0.07,21,0.39,0,0,0.59,22,13,0.47303817843460844,0.5164458734390156
alex98773,2,0,3,0,1,0,0,0,1,2,2,0.32472644548221546,0.3803510985395766
il0874,2,0,2,0.04,15,0,1,0,0,2,0,0.5239162694943977,0.5631329575439382
imt-4,2,0,0,0.14,3,0.07,1,0,1,1,1,0.3620843551394615,0.41463170604315475
golderok32,3,0,1,0,2,0,1,0,1,1,1,0.31529225657297777,0.3716940368870529
ritsu-cyan,2,0,3,0.35,61,0.33,0,0,0,1,0,0.8518102369727804,0.8640171479348542
j3anx,1,1,0,0,1,0.15,1,0,0,2,0,0.30806461449187517,0.3650617610549236
drugzed,2,0,2,0.14,3,0.15,1,0,1,1,1,0.46592141810366333,0.509915345638062
zxiaofan,2,0,3,0.12,11,0.1,0,0,0.06,17,1,0.55699783965390115,0.5934894826451775
forkis987,3,0,4,0.11,5,0.13,1,0,0.67,3,2,0.5182890206739024,0.5579692449617767
emymendoz,4,0,1,0,2,0,1,0,1,1,1,0.350774416623392,0.40425340686324385
liyoungc,2,0,3,0.06,12,0.15,0,0,0,3,0,0.6964371845645212,0.7214427192500492
entinre,1,1,1,0,2,0,1,0,1,1,1,0.17534839969914084,0.24327784674033223
moabbasi810,4,0,0,0.11,5,0,1,0,0,3,0,0.482237667639346,0.524887568425551
olaspric,3,0,1,0,2,0,1,0,1,1,1,0.31529225657297777,0.3716940368870529
lizabethhugh,4,0,1,0,2,0,1,0,1,1,1,0.350774416623392,0.40425340686324385
dmundrui,3,0,1,0,2,0,1,0,1,1,1,0.31529225657297777,0.3716940368870529
jackaylove250,4,0,2,0.25,2,0.15,1,0,1,1,1,0.5530670816108162,0.5898825149400025
inukichi09,4,0,3,0,1,0.16,1,0,0,1,0,0.613068892679402,0.6449417662101572
orgegra,3,0,1,0,2,0,1,0,1,1,1,0.31529225657297777,0.3716940368870529
nnawatso,3,0,1,0,2,0,1,0,1,1,1,0.31529225657297777,0.3716940368870529
msarara151,4,0,NA,0,3,0,1,0,1,2,2,0.4001870205519324,0.3140503856250382
qingeraaa,2,0,3,0,4,0.13,1,0,0.5,2,1,0.43280843144828196,0.4795299919279895
juchy123,3,0,2,0,2,0.15,1,0,0,5,0,0.5020208198966213,0.543041112987797
izabethco,3,0,1,0,2,0,1,0,1,1,1,0.31529225657297777,0.3716940368870529
homas2,2,0,1,0,2,0,1,0,1,1,1,0.2730703341421541,0.33295008241590524
pipixinya1,1,1,2,0,8,0.1,0,0,1,30,30,0.24601149104537465,0.30812017120802043
orrvan,2,0,3,0,6,0.18,0,0,0.86,7,6,0.44550069578298224,0.4911767498965562
malisa-0x4e3,5,0,4,0.15,9,0,1,0,1,3,3,0.49459543869440437,0.5362273865000712
qingshanqiaoxy,5,0,0,0,5,0,1,0,1,1,1,0.3667617169669406,0.4189237771582453
samuellray0,3,0,1,0.14,9,0.13,1,0,1,1,1,0.5197674440093363,0.5593258853774513
ruslr1,2,0,3,0.43,30,0.08,1,0,0,6,0,0.6519089217304206,0.6805824057304491
lilongfuabc,4,0,3,0.08,7,0.16,1,0,0.67,3,2,0.5461221879926152,0.5835096965873711
wangyin87,3,0,3,0.09,17,0.11,1,0,0.67,9,6,0.49793113134497713,0.5392883064379371
liulvcheng,3,0,4,0.26,26,0.1,0,0,0.29,59,17,0.6164932907301008,0.6480840845729635
thraugzits,3,0,2,0.33,3,0.15,1,0,1,1,1,0.5402214308550646,0.5780950055283097
zzzzz79dc,4,0,3,0,3,0,1,0,1,2,2,0.3620862031686308,0.4146334018436743
huyatv1,2,0,2,0,4,0,1,0,1,1,1,0.32195994581578474,0.3778124851617454
chuyi99,2,0,4,0.2,13,0.25,1,0,0.8,5,4,0.537070541121421,0.5752036656424031
calebloo1,3,0,1,0.27,17,0.1,1,0,0.5,2,1,0.5561033935359636,0.5926687151936944
caifen,2,0,2,0.36,7,0,0,0,0.67,15,10,0.4082240994091851,0.4569707576158401
sabitzermario943,7,0,1,0.33,1,0,1,0,1,1,1,0.45701576553684325,0.5017432829341419
maomaox0,2,0,1,0,5,0,1,0,0,1,0,0.43446611361313725,0.4810511249940647
pipixinya,1,1,4,0,8,0.1,0,0,0.85,72,61,0.31246661997312963,0.3691011578925948
oxmannick,2,0,0,0,20,0.08,1,0,0,1,0,0.5251969537087173,0.5643081473040163
radiy051,3,0,0,0,14,0,1,0,0,1,0,0.4990454929340605,0.5403108741512518
hezhen0314,3,0,4,0.33,5,0,1,0,0.62,13,8,0.4182053049525334,0.46612977622216345
huangsuzhen2022,5,0,4,0.2,7,0.16,1,0,1,2,2,0.6075340453173713,0.6398628436539753
nic-github-ux,5,0,3,0.11,13,0.08,0,0,0.14,21,3,0.6134421945715991,0.645284317915115
cryptolion1337,3,0,4,0.4,6,0,1,0,0.09,11,1,0.4976299025903825,0.5390118909532434
balbess26,2,0,4,0,1,0,0,0,0,8,0,0.4624230988861928,0.5067051952544718
jemoleip,3,0,3,0.21,19,0,1,0,0.17,6,1,0.5197415716009661,0.559302144170177
x-i-x-a,3,0,4,0.67,23,0.1,0,0,0,5,0,0.8147424678951133,0.8300027811128521
kripai15,3,0,2,0.19,19,0.2,1,0,0,6,0,0.6733146435983346,0.7002248631488981
vladhladun,3,0,3,0.2,2,0.08,0,0,0,6,0,0.6374018927514752,0.6672703716516418
sengmozz,3,0,4,0,8,0.21,1,0,0.73,15,11,0.4397459329498057,0.4858960270785427
wenm0767,1,1,1,0,2,0,1,0,1,2,2,0.11779337925069809,0.19046383535811914
chiguoqi,3,0,1,0.39,21,0.1,1,0,0.38,60,23,0.46324731989569723,0.5074615222862104
kaikai5201,3,0,4,0.33,8,0.36,0,0,0.57,46,26,0.6033427151614161,0.6360167680755378
qhutun,2,0,2,0.29,3,0.16,1,0,1,1,1,0.4967687209974922,0.5382216479111129
xuyan9066,3,0,1,0,5,0.11,1,0,1,1,1,0.42195680416619696,0.4695722512769378
owen4sun,3,0,2,0,2,0.1,0,0,1,6,6,0.3763696206180918,0.42774024405961075
zhangyu1377,3,0,1,0,1,0,1,0,1,1,1,0.2926834677158544,0.35094761333034874
hexiaoqiou,3,0,3,0,1,0,1,0,1,1,1,0.34966375109264725,0.4032342307509683
yin2134,2,0,3,0,1,0,1,0,0,1,0,0.4404703603841683,0.48656078088222326
zhiweishan,3,0,0,0,12,0.1,0,0,0,1,0,0.6333805812790949,0.6635803097210069
omaryoussefnhs,6,0,1,0,1,0,1,0,1,2,2,0.3008406684691111,0.35843287682383346
matt20223,2,0,1,0.13,8,0.08,1,0,0,2,0,0.5341598951797856,0.5725327798240437
amirli9,2,0,2,0,7,0,1,0,0.5,6,3,0.2777791124655112,0.3372709821398289
davidalablabla,5,0,1,0.4,1,0.07,1,0,1,1,1,0.49558228627080647,0.5371329439775341
mygirl001,3,0,4,0.28,18,0.25,1,0,0.57,7,4,0.6055880706021064,0.6380771657068436
qingyi6677,3,0,1,0,4,0,1,0,0,1,0,0.46889304900788553,0.5126421928735679
hosoncool,2,0,4,0.14,9,0.16,1,0,1,1,1,0.5688289223957111,0.6043459975716137
brroughtonquinesha,9,0,0,0.33,3,0.05,1,0,0,1,0,0.6379914140564795,0.6678113320173922
mcxxy666,3,0,1,0,6,0,1,0,0,2,0,0.4483910134037556,0.49382898190920005
5aa5aa,2,0,3,0,3,0,1,0,1,1,1,0.3419371411358357,0.3961440887785488
cryptomama460,4,0,3,0.19,23,0.08,1,0,0,1,0,0.7662797509595891,0.785532108287038
rosejennyv,4,0,2,0,2,0.1,0,0,1,5,5,0.4192069367622899,0.46704890010378297
pidashin,2,0,0,0,10,0,0,0,0,1,0,0.5123383667487807,0.5525087672886863
xishoushou,4,0,4,0.24,10,0.15,0,0,1,6,6,0.6345392955682413,0.6646435766467919
rodmanweintraub250,9,0,0,0.2,2,0.05,1,0,0,1,0,0.6060611660694453,0.6385112906398595
nima6m,2,0,4,0.14,16,0.11,1,0,0.15,13,2,0.521674610112046,0.5610759515136715
gorqrix,3,0,2,0.43,3,0.18,1,0,1,1,1,0.5547524842132108,0.5914290850138717
synedclover,4,0,3,0.22,3,0.08,1,0,0.17,6,1,0.5272833786408485,0.5662227060906372
sajidpervaiz,5,0,0,0,10,0.08,1,0,0,1,0,0.5897079559503767,0.6235051518419785
goalgoalgoalgoal,8,0,2,0.25,16,0.11,1,0,0,1,0,0.7999914990658212,0.8164669013654586
bow7354,3,0,0,0,10,0.1,1,0,0,1,0,0.5462478539761272,0.5836250110227034
lztfi,2,0,4,0.29,8,0.31,1,0,1,9,9,0.48083131744151447,0.5235970642301405
etherc2c,2,0,0,0.14,1,0,0,1,0.36,45,16,0.3169296104169708,0.37319651614741256
flamerrr5,3,0,4,0.31,16,0.1,1,0,0.22,9,2,0.586113539216103,0.6202068198313696
jobealexandro,4,0,0,0.2,2,0.06,1,0,0,1,0,0.5701206947850465,0.6055313621348094
muyu-qwe,3,0,3,0,1,0,1,0,0,2,0,0.44650417562190803,0.4920975695786953
kaixing999,3,0,4,0.29,12,0.16,1,0,1,1,1,0.6571369962503488,0.6853798254003785
qcwdavid,3,0,1,0.22,4,0.08,1,0,0.25,4,1,0.45185606809617884,0.4970086078834375
originser,2,0,3,0.12,11,0.15,1,0,1,1,1,0.5488055263464279,0.5859719989418205
im-3,1,1,0,0,3,0.05,1,0,1,1,1,0.19694631660066123,0.2630966674128189
piojorojo,3,0,1,0,1,0,0,0,0,1,0,0.5005516367070337,0.5416929515747204
etorre198,3,0,0,0.33,3,0.06,1,0,0,1,0,0.5665687827216664,0.6022720335361511
xort88,2,0,2,0.09,5,0,1,0,0,1,0,0.5115067536225992,0.5517456570548693
newtonswargiary0,8,0,1,0,3,0.16,0,0,0,9,0,0.6222997983800176,0.6534122898055256
trinidan,2,0,0,0,3,0,1,0,1,1,1,0.25246665693371306,0.31404360242295976
watertim,2,0,4,0.18,35,0.41,0,0,0,13,0,0.7617428393489762,0.7813689180114365
shizhengbing,4,0,4,0.36,14,0.28,1,0,0.62,13,8,0.6190583552170787,0.650437855694159
