Handle,LevDistance,LevMatchCount,IntersectionalityScore,DDNADistance,DDNAGrantsDonated,APUScore,SADScore,GrantOwner,IPsSharedRatio,IPsUsedCount,IPsSharedCount,MetaRank_Loki,MetaRank_Thor
hirama,1,1,3,0.38,8,0.16,0,0,0,6,0,0.6123999061201182,0.6443278864220644
befee887,3,0,1,0,12,0,1,0,1,1,1,0.39147541104788797,0.44160171750676624
prkishore0,2,0,3,0.21,15,0.1,0,0,0.5,2,1,0.6304163424915499,0.6608602456875793
manman61529,4,0,0,0,1,0,1,0,0,1,0,0.42870395866328354,0.47576361897397285
cenkkk789,4,0,2,0.5,1,0,1,0,0,1,0,0.5938789577854697,0.6273325736147005
bhattkamal19,5,0,3,0.29,18,0.1,1,0,0,7,0,0.7350554501152247,0.7568798627079899
topisky,1,1,3,0.6,34,0,0,0,0.87,94,82,0.38213547162628414,0.4330311416807418
yasss5,2,0,3,0.15,9,0,1,0,1,1,1,0.45115012095350915,0.4963608120849528
gududefengzhong,5,0,4,0.62,18,0.15,0,0,0.54,59,32,0.695810702676131,0.720867842873907
allyhernandez,3,0,4,0.44,34,0.1,0,1,0,13,0,0.8654616284463434,0.8765440263730897
sanyakiska,3,0,2,0.17,4,0.15,1,0,0,1,0,0.6551873254767453,0.6835907558522076
shaocainei5750798,9,0,0,0,11,0,0.02,0,0,3,0,0.5638799002803461,0.5998046437801429
xdlter,2,0,3,0.57,15,0,1,0,0,6,0,0.5851747403981025,0.6193453531674162
baoxian99319,5,0,0,0,11,0,0.02,0,0,3,0,0.5451501246495675,0.582617705514065
daishunhuan2783,7,0,0,0,11,0,0.02,0,0,3,0,0.5601394892416982,0.596372343528486
fanluanshuo873,6,0,0,0,11,0,0.02,0,0,3,0,0.5552699323806127,0.5919039091593578
huashun78758,5,0,0,0,11,0,0.02,0,0,3,0,0.5451501246495675,0.582617705514065
yanglan94007,4,0,0,0,11,0,0.02,0,0.33,3,1,0.4316053644590726,0.4784260257897343
zanyuanshi30296,7,0,0,0,11,0,0.02,0,0,3,0,0.5601394892416982,0.596372343528486
jmcmizu,3,0,0,0.3,21,0.1,1,0,1,2,2,0.48028060474906537,0.5230917156753017
elavin,1,1,4,0.75,10,0,0,0,0,7,0,0.5633476678795898,0.5993162532305
saifrza6,1,1,2,0.04,89,0.2,1,0,0,9,0,0.5052289985345129,0.545985022689811
milsteinhsh,5,0,4,0.75,2,0,1,0,0,1,0,0.695045618600044,0.7201657814587954
connoroday,1,1,5,0.8,48,0.52,0,1,0.19,134,25,0.6361452329163564,0.6661172272983185
